More Info|Industry: Tobacco Products, Other |Consumer Goods|Tobacco Products, Other
DM8.DE|Alliance One International Inc |Consumer Goods|Tobacco Products, Other
AOI|Alliance One International, In |Consumer Goods|Tobacco Products, Other
MO.BA|Altria Group Inc |Consumer Goods|Tobacco Products, Other
MO.MX|Altria Group Inc |Consumer Goods|Tobacco Products, Other
PHM7.DE|Altria Group Inc |Consumer Goods|Tobacco Products, Other
LFV.DE|Bentoel International Inv |Consumer Goods|Tobacco Products, Other
BATS.L|British American Tobacco PLC |Consumer Goods|Tobacco Products, Other
BMT.DE|British American Tobacco PLC |Consumer Goods|Tobacco Products, Other
BMTA.DE|British American Tobacco PLC |Consumer Goods|Tobacco Products, Other
GODFRYPHL.NS|Godfrey Phillips India Ltd |Consumer Goods|Tobacco Products, Other
GODFRYPHLP.BO|Godfrey Phillips India Ltd |Consumer Goods|Tobacco Products, Other
GOLDENTOB.BO|Golden Tobacco Ltd |Consumer Goods|Tobacco Products, Other
GOLDENTOB.NS|Golden Tobacco Ltd |Consumer Goods|Tobacco Products, Other
GGG.DE|Gudang Garam |Consumer Goods|Tobacco Products, Other
HSZ.DE|Hanjaya Mandala Sampoerna Tbk |Consumer Goods|Tobacco Products, Other
IMT.L|Imperial Tobacco Group PLC |Consumer Goods|Tobacco Products, Other
ITB.DE|Imperial Tobacco Group PLC |Consumer Goods|Tobacco Products, Other
ITC.BO|ITC Ltd |Consumer Goods|Tobacco Products, Other
ITC.NS|ITC Ltd |Consumer Goods|Tobacco Products, Other
JAT.DE|Japan Tobacco Inc |Consumer Goods|Tobacco Products, Other
KARE.AT|Karelia Tobacco Co Inc SA |Consumer Goods|Tobacco Products, Other
MLCG|ML Capital Group, Inc. |Consumer Goods|Tobacco Products, Other
RDBIND.BO|NTC Industries Ltd |Consumer Goods|Tobacco Products, Other
4I1.DE|Philip Morris |Consumer Goods|Tobacco Products, Other
PM.PA|Philip Morris |Consumer Goods|Tobacco Products, Other
RQ4.DE|Reynolds American Inc |Consumer Goods|Tobacco Products, Other
BAZA154.SA|Souza Cruz SA |Consumer Goods|Tobacco Products, Other
SWM.DE|Swedish Match AB |Consumer Goods|Tobacco Products, Other
SWMA.ST|Swedish Match AB |Consumer Goods|Tobacco Products, Other
TQBY|Tabacalera Ysidron, Inc. |Consumer Goods|Tobacco Products, Other
UVV.DE|Universal Corp |Consumer Goods|Tobacco Products, Other
UVV|Universal Corporation |Consumer Goods|Tobacco Products, Other
VGR.DE|Vector Group Ltd |Consumer Goods|Tobacco Products, Other
VST.BO|VST Industries Ltd |Consumer Goods|Tobacco Products, Other
VSTIND.NS|VST Industries Ltd |Consumer Goods|Tobacco Products, Other
